a,b,c,t.star,c.star
32.07151037,2.260735615,0.002892955,2083.866848,6.153640631
36.87278836,2.623146172,0.005754628,2078.856771,1.765104828
23.07764601,2.053445591,0.002584343,2095.838919,20.09618083
20.54352336,1.82185533,-0.000333092,2083.353965,9.403983541
57.46387382,2.737302401,0.004794604,2087.545513,2.564747785
20.54154982,2.177887346,0.003872981,2092.505078,8.366049759
43.0319954,2.434314507,0.003482324,2095.155923,9.226627639
14.20245767,2.0184937,0.001764971,2090.355335,13.5111727
20.60575154,1.814858117,0.001384537,2096.479489,33.51825669
36.85055286,2.37940066,0.003953844,2096.406961,17.38631085
24.66237193,2.102154528,0.00226815,2040.282625,1.543368623
39.44236125,2.820660533,0.006917542,2093.59174,-1.616230989
44.13664363,2.241973502,0.001429803,2034.063877,1.17574736
33.1963061,2.457472158,0.005264282,2097.932486,12.85833406
23.72103594,1.615118094,-0.002430212,2077.103916,8.838156241
45.58238474,2.331952919,0.001725899,2097.017947,30.033592
16.68839977,1.654317074,-0.001215938,2080.444906,8.789018637
36.92194154,2.63778418,0.006202341,2101.129154,-0.230380634
16.35957371,1.655061412,-0.00134885,2074.176615,7.031328676
28.59803257,2.006587309,0.001409682,2093.078167,16.29747161
39.36223496,2.796757063,0.007795945,2099.988806,14.66375527
24.87396306,1.952687829,0.001678906,2095.708495,31.70675475
26.97132628,1.722031578,-0.00141429,2095.223189,32.40970999
44.60982815,2.61662562,0.004891238,2081.341735,2.661123199
16.12563831,1.512115237,-0.00234929,2093.411776,30.44555937
57.52903693,2.914111793,0.006614715,2084.336128,-1.430699658
48.75053262,2.375173694,0.00232649,2057.83561,1.304176592
20.62633967,2.062702337,0.001989605,2096.319659,25.4666615
30.49652807,2.277101933,0.003138963,2062.930272,2.530626501
51.71297159,2.847976367,0.007158473,2066.926804,-0.117632349
43.52791951,2.278909753,0.002270068,2077.043317,4.335359219
42.21074389,2.374787666,0.0028861,2063.181118,1.682020703
47.83774868,2.77446746,0.005861065,2103.05225,4.866956514
42.55844896,2.708529183,0.006431364,2100.110215,-10.06643439
34.99941239,2.465135752,0.004784577,2098.490529,30.16626981
34.36708436,2.254167144,0.00328293,2080.900817,4.10221281
29.03543332,1.810420551,-0.000919772,2050.656597,3.026753189
26.47472768,2.01517468,0.000527265,2088.580513,11.64685884
38.93990442,2.415993239,0.003882735,2097.415269,26.25836943
35.21808639,2.690094554,0.006068166,2102.488584,-11.39912947
25.38863411,2.00515606,0.000917577,2090.094821,12.13976738
19.17338725,2.017999848,0.001750195,2068.639714,3.22472387
28.15730125,2.025040626,0.000277864,2058.216611,2.854886979
29.86829881,1.694913113,-0.002116778,2079.638668,8.571169202
18.31939868,2.026927201,0.002617046,2096.11059,21.10263108
41.52660822,2.653856608,0.005350276,2065.03496,0.553252003
42.70489029,2.470420751,0.003740471,2042.446188,0.656111238
51.12468613,2.572139244,0.00413942,2086.465073,3.039094389
30.06912986,1.996277902,0.001448715,2085.376145,8.083999159
50.06406068,2.934947017,0.007855003,2083.490071,-0.855903954
56.48963753,2.705314564,0.005074711,2095.382816,0.353227977
49.2007344,2.822373318,0.00700263,2101.302473,-9.33022578
30.93079569,1.95827895,0.00018096,2093.720684,22.69924222
16.35693684,1.356235199,-0.004205043,2049.411622,4.258395617
22.78464915,2.186828659,0.003863953,2096.181026,25.42577231
48.77144443,2.350143923,0.002441834,2095.533013,18.69677698
29.03701964,1.78113269,-0.002061081,2092.077253,17.47873425
45.71742932,2.821741859,0.00692161,2100.931485,8.849701264
36.90530645,2.103461355,0.000716977,2060.928583,2.226753
44.36586465,2.680720251,0.005456058,2090.345484,3.543362361
34.99349127,2.028081323,0.000440635,2093.125426,13.92048829
22.7047317,1.709818875,-0.000409105,2091.09998,19.27401927
33.60169905,2.304764648,0.003356003,2033.920954,0.878067515
41.23717212,2.322959552,0.003047346,2098.094894,28.15193365
31.1265001,2.280068062,0.003596391,2029.814739,0.842717339
37.1166094,2.720218075,0.006206734,2099.226019,30.70771782
27.37698568,2.483963803,0.00598595,2074.405661,1.821949882
52.26716195,2.729314087,0.00488537,2103.04555,-14.54156076
45.83373345,2.767281579,0.006350429,2099.689039,-2.032620143
40.45397153,2.628944028,0.0059337,2100.605234,5.61376709
24.78393139,1.821125677,-0.000761775,2066.358912,3.930468382
42.27763474,2.21671656,0.002374499,2093.867296,17.31500137
52.92753515,2.764342198,0.005791687,2098.992203,26.1419672
37.56961363,2.431064939,0.003926116,2098.130855,21.32784253
26.40634212,1.977006583,0.000768298,2078.724507,6.10424171
1.724850524,1.421332059,-0.001672488,2091.950563,25.88699934
41.38119076,2.360192108,0.003474117,2095.813191,16.55190599
51.0492717,2.587481276,0.004899485,2059.197226,0.565738548
47.84282366,2.831777832,0.006393284,2100.024267,-14.04071781
13.86833015,1.363580083,-0.003503015,2074.904881,7.880054964
27.80911382,2.06552371,0.001789571,2088.490728,9.68627838
36.1071153,2.220733364,0.002356316,2069.921067,2.246341065
32.31936865,2.071715703,0.000693178,2047.573297,1.738037777
46.67736417,2.674819217,0.005886421,2101.080073,-10.24787748
34.28012208,2.244637332,0.002032006,2080.282755,4.703973562
34.34812287,2.511374303,0.00484996,2092.365721,5.91032709
11.52161597,1.424124684,-0.003102504,2057.058354,5.114592917
26.20124514,1.925159193,0.00039185,2081.231196,5.772171312
40.52421174,2.284969118,0.002311752,2097.668668,32.33341966
23.20587327,2.058787655,0.002112825,2081.856634,5.812684158
34.58359546,2.315251501,0.003158553,2070.204704,1.710260918
50.73570626,2.721336377,0.004245772,2101.313026,0.275411541
46.54858166,2.684683215,0.005664579,2035.326245,-0.009595193
38.35306412,2.170775501,0.001450236,2071.88668,3.019165855
46.96690525,2.703476334,0.006326234,2099.698215,30.48557112
28.15730125,2.025040626,0.000277864,2058.216611,2.854886979
26.59607701,1.653693053,-0.002931464,2068.221266,5.434153348
52.42076017,2.887444113,0.006750181,2100.389863,11.6262704
37.84709559,2.521799442,0.004560857,2096.812922,5.329317136
52.90209839,2.72311938,0.005244645,2101.640081,16.00715018
10.13526824,1.624630681,-0.000717544,2089.289408,17.54345385
38.05026604,1.708618773,-0.002735096,2090.677299,20.31578847
14.13541065,2.004101811,0.001290456,2054.570014,2.627596192
55.7998873,2.942284721,0.006266653,2103.518946,-9.026692875
48.45883319,2.257458133,0.000986046,2077.560157,4.034891482
33.96714283,1.798380553,-0.002110111,2067.920604,4.753185497
40.41036271,2.617348224,0.005171903,2095.039717,4.154589844
8.792726136,1.908925247,0.002300418,2074.446225,4.000576576
42.73556373,2.546053943,0.004162894,2089.815118,2.050675175
28.59803257,2.006587309,0.001409682,2093.078167,16.29747161
22.9994107,1.698189147,-0.001366086,2092.364091,18.58047155
47.52589999,2.504140082,0.003729472,2066.997737,1.594467848
37.93313392,1.876599414,-0.001584172,2093.471282,23.82435763
24.29800176,1.883509429,0.000407395,2094.810112,26.45364951
35.0605437,2.109614916,0.001225778,2054.473964,2.627688055
35.21808639,2.690094554,0.006068166,2102.488584,-11.39912947
32.70571574,2.154319569,0.001262088,2086.493821,6.163524629
36.44497128,2.675971007,0.006004244,2095.633874,2.93352745
30.51635259,1.972731417,6.54E-05,2094.838803,23.72581883
38.72514747,2.402194535,0.003716706,2096.480074,14.32242007
35.02757585,2.772322252,0.00704425,2096.551795,-7.373443837
23.80577808,1.768625192,-0.00075646,2093.414685,20.67675775
29.52315819,1.696618574,-0.001806416,2059.820396,4.411745411
